artist_id,artist_familiarity,artist_hotttnesss,artist_latitude,artist_longitude
ARTIST_9284,0.027503986436083424,0.0,0.0,0.0
ARTIST_3814,0.5472281478297538,0.364787348408113,0.0,0.0
ARTIST_2578,0.6063870538494238,0.39902301403629364,34.05349,-118.24532
ARTIST_11567,0.5928837703729994,0.39538577591429913,51.48126,-3.18067
ARTIST_3684,0.5571872265921035,0.39239371420466546,39.49974,-111.54732
ARTIST_20821,0.4371204557069741,0.32130839786643967,31.57182,-97.1495
ARTIST_21719,0.6306880898886763,0.42573890821623106,0.0,0.0
ARTIST_19970,0.6347187888691282,0.4347368952014331,30.2676,-97.74298
ARTIST_18456,0.7714242026219095,0.48947369522358053,40.65507,-73.94888
ARTIST_8152,0.6466302750197909,0.44143102743359075,0.0,0.0
ARTIST_9052,0.5129547901530219,0.3365906062875994,0.0,0.0
ARTIST_6861,0.42843666331566843,0.480232859217609,0.0,0.0
ARTIST_3915,0.6685279667162509,0.4391447728041807,44.97903,-93.26493
ARTIST_9012,0.6839422482015463,0.4401672378286746,0.0,0.0
ARTIST_19038,0.6170514361595657,0.41565700100707187,0.0,0.0
ARTIST_24134,0.4410658128092858,0.3818385413620579,42.88544,-78.87846
ARTIST_15628,0.5344872871308239,0.35290463779432063,36.15398,-95.99277
ARTIST_2780,0.5625956825229009,0.3898950214265223,29.29533,-94.80786
ARTIST_6533,0.38811220620920894,0.32521985130486425,0.0,0.0
ARTIST_11690,0.6949177156109511,0.4855715359343787,0.0,0.0
ARTIST_16248,0.5162543018790998,0.4300895061267759,42.87289,-2.46883
ARTIST_32474,0.3776345447271499,0.23435417538279868,0.0,0.0
ARTIST_6312,0.5044430882279124,0.34117145395310067,0.0,0.0
ARTIST_30853,0.5476672074222206,0.3248981272177498,0.0,0.0
ARTIST_8563,0.5567508230551141,0.3615879415321665,0.0,0.0
ARTIST_5081,0.5168736834341928,0.31060034368783074,0.0,0.0
ARTIST_2512,0.4676276869350442,0.3217132036929047,40.65507,-73.94888
ARTIST_3071,0.43814396300216524,0.3378022624897636,0.0,0.0
ARTIST_7542,0.5194307021597921,0.3578996781374885,51.50632,-0.12714
ARTIST_7290,0.787877770105966,0.5432255210454612,0.0,0.0
ARTIST_15471,0.5218154646264163,0.43223141151204086,36.32878,-91.70019
ARTIST_16052,0.5758447565611612,0.42685185323555136,26.30116,-98.1607
ARTIST_10613,0.5434019092229965,0.3801355714548353,0.0,0.0
ARTIST_24948,0.4007634106046237,0.2536140029019708,0.0,0.0
ARTIST_5626,0.5667060795218877,0.37967517023525416,0.0,0.0
ARTIST_20053,0.47738046822382735,0.26647371308833256,0.0,0.0
ARTIST_8003,0.7343341143746634,0.4078167866119694,38.8991,-77.029
ARTIST_7250,0.35012613111338753,0.36012377931250655,0.0,0.0
ARTIST_8597,0.5247000411070547,0.38976551809145177,0.0,0.0
ARTIST_11698,0.5636383273525244,0.39337209371059945,18.22328,-66.42889
ARTIST_4307,0.5817012759158622,0.48740452507158794,0.0,0.0
ARTIST_6609,0.516528466788712,0.3435562076834515,0.0,0.0
ARTIST_27616,0.3636050085899621,0.3023150481533614,0.0,0.0
ARTIST_27813,0.4809245874682425,0.24964132795768312,0.0,0.0
ARTIST_6095,0.6730950092431316,0.46784258487306435,41.88415,-87.63241
ARTIST_14984,0.2795316829579987,0.3272491188862103,0.0,0.0
ARTIST_16610,0.6223591640944514,0.4333907112857084,-37.81753,144.96715
ARTIST_14775,0.5108387615942611,0.0,42.50382,12.57347
ARTIST_16919,0.48998828377063663,0.20996822539503324,40.71455,-74.00712
ARTIST_1466,0.5423652261032936,0.3537835852238756,39.95227,-75.16237
ARTIST_19824,0.590818773038747,0.4209454860338134,40.71455,-74.00712
ARTIST_26617,0.7037658795048546,0.4826877521215205,0.0,0.0
ARTIST_20185,0.5871035093453669,0.33332902528823444,47.60356,-122.32944
ARTIST_27732,0.4643736309728245,0.3319379009858711,0.0,0.0
ARTIST_3483,0.7208086974926082,0.4671335192037262,0.0,0.0
ARTIST_19547,0.39620187242648347,0.2962408019747926,0.0,0.0
ARTIST_6593,0.6914150857738638,0.4388194026794745,37.27188,-119.27023
ARTIST_18446,0.5756865010660667,0.3829764579671415,30.19145,-93.58068
ARTIST_4458,0.5594202480844251,0.34723643516380576,51.50632,-0.12714
ARTIST_4560,0.5734953364567663,0.4412286178170848,36.78865,3.04822
ARTIST_6900,0.6599449187584954,0.43469691279710654,53.93063,-1.20788
ARTIST_1849,0.6415251361910892,0.38718194162247555,35.21962,-80.01955
ARTIST_27504,0.5308038743884266,0.42278451433996855,0.0,0.0
ARTIST_1295,0.7885221950178724,0.46283344061453124,0.0,0.0
ARTIST_15618,0.556294244711165,0.27427309642504477,0.0,0.0
ARTIST_22441,0.29534170265250126,0.289763609295366,39.73926,-89.50409
